رقم الصفحة,العنوان,صحافة,Column,رقم الموضوع,رقم العدد,الصفحات,Column2,Column 9,Column 10
36,اثار,,,,,,,,
36,صناديق تحتوي جثث حكام في مصر,الاهرام,,7,342,1,,,
36,اثار قديمة في سوريا,المجلة,,10,46,3,4,,
36,اثار قديمة في صيدا,المجلة,,13,623,3,,,
36,اثار جديدة في صيدا,المجلة,,13,624,1,,,
36,حمام معدني لمعالجة الامراض,المجلة,,17,840,3,,,
36,الاثار القديمة في اميركا,المجلة,,19,913,4,,,
36,مدينة مدفونة في غواتيمالا,المجلة,,20,969,4,,,
36,مدينة نابلس وجوارها,المجلة,,23,1130,3,,,
36,مدينة نابلس وجوارها,المجلة,,23,112,4,,,
36,مدينة نابلس وجوارها,المجلة,,23,1126,4,,,
36,مواعظ منسوبة الى المسيح,المجلة,,23,1123,3,,,
36,مدينة نابلس وجوارها,المجلة,,23,1123,4,,,
36,مدينة نابلس وجوارها,المجلة,,23,1129,4,,,
36,اشجار متحجرة,المجلة,,26,1273,8,,,
36,بلدة سلجقية في بيت لحم,الاسير (محمود),,27,1310,8,,,
36,مدينة سلجقية قرب بيت لحم,الخالدي (شوكت),,27,1316,7,,,
36,الهيكل الفينيقي في صيدا,المجلة,,27,1338,5,,,
36,كتابة هيروغليفية في الاسكندرية,المجلة,,28,1350,7,,,
36,قطع مرمر حميرية,المجلة,,28,1367,3,,,
36,مدينة بابل,المجلة,,29,1380,7,,,
36,كنز شارلكان في قلعة متز,المجلة,,360,1437,8,,,
36,هيكل ومغارتان قرب الرملة,المجلة,,30,1438,8,,,
36,مدينتا مأدبا والحقبة,المجلة,,32,1513,6,,,
36,الاواني الصينية في فلسطين,المجلة,,32,1539,6,,,
36,اثار اسلامية قديمة,المجلة,,33,1564,2,,,
36,كنوز في الافغان,المجلة,,33,1585,7,,,
36,مدينة ذهب في المكسيك,المجلة,,33,1588,7,8,,
36,بلدة اثرية في سويسرا,المجلة,,30,1611,1,,,
36,اكتشاف عاديات في بابل,المجلة,,,,,,,
37,اجتماع,,,,,,,,
37,الاتحاد,مجلة سورية,1875,1,3,3,,,
37,الاتحاد,عن سورية,,1,5,2,3,,
37,تذكرة لاولي الالباب,المجلة,,1,6,3,,,
37,الصداقة والاتحاد,المجلة,,1,10,2,,,
37,ادب النفس,الاحدب (ابراهيم),,1,10,3,,,
37,الصداقة والاتحاد,المجلة,,1,11,2,3,,
37,ادب النفس,الاحدب (ابراهيم),,1,11,3,4,,
37,النظافة,المجلة,,1,11,4,,,
37,نقول ولا نفعل,الاحدب (ابراهيم),,1,14,2,3,,
37,نقول ولا نفعل,الاحدب (ابراهيم),,1,15,2,,,
37,من الحزم سؤ الظن,الاحدب (ابراهيم),,1,29,3,4,,
37,الفرضية ,المجلة,,1,43,3,,,
37,تداول الناس اخبارمختلفة فيما بينهم,المجلة,,1,44,1,,,
37,يتعذر ارضاء الجميع,الاحدب (ابراهيم),,1,45,3,4,,
37,لا بد للناس من الناس,المجلة,,1,46,72,,,
37,محاربة التعصب,المجلة,,1,54,2,,,
37,الحكم على الانسان من النظرة الاولى,المجلة,,2,58,3,,,
37,حب التسلط عند الانسان,المجلة,,2,62,2,3,,
37,الاكتفاء بالشريعة,المجلة,,2,64,2,3,,
37,الطوربيل آلة جهنمية,المجلة,,2,77,3,4,,
37,حاجة المجتمع الى الرئاسة,جريدة (الرائد التونسي,,2,78,3,4,,
37,الثروة مع الغباوة,الحلبي (احمد),,2,78,4,,,
37,احب العمل الى الله ادومه,الرائد التونسي,,3,102,3,,,
37,واجب اسعاف المصابين في الحرب,المجلة,,3,114,4,,,
37,احصاء لسكان روسيا,المجلة,,3,115,3,,,
37,ضبط التصرفات العامة بالقوانين,المجلة,,,,,,,
37,جمعية الهلال الاحمر,المجلة,,,,,,,
37,,,,,,,,,
38,اجتماع,,,,,,,,
38,الحالة الاجتماعية في حلب,المجلة,,3,140,2,,,
38,اعانة الجرحى في الاسكندرية,المجلة,,3,141,1,3,,
38,مساعدة المهاجرين,قباني (عبد القادر),,3,144,1,,,
38,جمعية معاونة المهاجرين,المجلة,,3,144,3,,,
38,الاعانات للمهاجرين,المجلة,,3,145,1,,,
38,واجب اعانة المهاجرين,المجلة,,3,146,2,,,
38,الاصلاح اساس كل تقدم,المجلة,,3,147,1,,,
38,الامة الاسلامية في تركستان,الليفانت هرالد,,4,153,3,4,,
38,الامة الاسلامية في تركستان,المجلة,,4,153,3,,,
38,شر النفاق,المجلة,,4,160,3,,,
38,الاصول الاجتماعية في لبنان,المجلة,,4,161,3,,,
38,الكذب والبهتان,المجلة,,4,164,3,,,
38,خير الامور اوسطها,المجلة,,4,165,3,,,
38,الحسن والغبطة,المجلة,,4,174,3,4,,
38,حب الذات ,المجلة,,4,175,3,,,
38,الاصلاح  ,المجلة,,4,178,2,3,,
38,لم يظلم من انتصف,المجلة,,4,183,4,,,
38,ضرورة الصفح,المجلة,,4,191,4,,,
38,رب صواب مع القليل,المجلة,,4,198,4,,,
38,الانفراد بالرأي الصواب,المجلة,,4,199,2,3,,
38,يبات الزم ومضاء الحزم,المجلة,,4,203,3,,,
38,الحزب والعزم,دامي (اديب),,4,209,3,4,,
38,الجمعية الخيرية في الشام,المجلة,,5,211,4,,,
38,ايثار النفس بالمحبة,المجلة,,5,232,4,,,
38,الاصلاح,المجلة,,5,233,4,,,
38,الناس ابناء الوقت الحاضر,المجلة,,5,237,4,,,
38,مساوئ عادة التجمع ليلة الزفاف,المجلة,,5,278,4,,,
38,علو اخلاق اهالي اللاذقية,شكوى(),,5,245,3,4,,
38,الاوضاع العمالية,المجلة,,5,255,4,,,
38,اهمية الفصل بالنسبة للقول,المجلة,,5,,,,,
39,اجتماع,,,,,,,,
39,التخلص من العوائد القديمة,المجلة,,5,260,3,,,
39,واجب العمل للتحاق بركب الحضارة,المجلة,,5,261,1,,,
39,فعل المعروف مع غير اهله,المجلة,,5,266,4,,,
39,واجب اغاثة اهالي الموصل,المجلة,,6,271,1,,,
39,صرخة لاغاثة اهل الموصل,المجلة,,6,272,1,,,
39,اهمية دور الاقدار في الحياة,المجلة,,6,273,1,,,
39,الحرية الاجتماعية في فرنسا,المجلة,,6,174,1,,,
39,الظلم الآفة الكبرى ,المجلة,,6,276,3,,,
39,الاهمال ,المجلة,,6,283,1,,,
39,الحرية ,المجلة,,6,284,1,,,
39,الحزم,المجلة,,6,286,1,,,
39,مسؤولية المجتمع,المجلة,,6,286,3,,,
39,تهذيب الغير,المجلة,,6,203,4,,,
39,نبذ المعرفة,المجلة,,6,208,4,,,
39,المعرفة لا تجهل,المجلة,,6,315,4,,,
39,عصبية الدروز,قارئ,,7,322,4,,,
39,الاستبداد من طبع البشر,المجلة,,7,325,4,,,
39,حفظ النوع الإنساني,المجلة,,7,333,1,,,
39,بعض الاداب الاجتماعية ,المجلة,,7,348,1,,,
39,قطاع الطرق,المجلة,,7,349,1,,,
39,الجمعيات مقدمة المدنية,المجلة,,7,363,1,,,
39,حقيقة حب الوطن,(م.و.),,7,369,4,,,
39,الحرية ومزاياها,المجلة,,8,371,4,,,
39,وجوب منع عمليات الاجهاض,المجلة,,8,375,1,,,
39,وحدة البيروتيين,المجلة,,8,376,1,,,
39,.............,المجلة,,..,..,..,,,
40,اجتماع,,,,,,,,
40,المؤمنون اخوة,المجلة,,8,379,1,,,
40,حسن الضيافة عند السوريين,احد القراء,,8,388,1,,,
40,الحسد,المجلة,,8,402,4,,,
40,وضع اطفال الامة الاسلامية,المجلة,,9,413,4,,,
